,type,name,track_name,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
117,bay_area,Casper Locs,Go Gettas Only,spotify:track:0it6yqzQY8F8dxvxIGOr4F,0.728,0.616,0,-8.84,0,0.411,0.134,0.0,0.146,0.598,180.097,304000,4
118,bay_area,Casper Locs,One Twenty Two (feat. Sandman Polo),spotify:track:3FxmRg3Ls6IOKeQpQdfojK,0.84,0.569,10,-9.275,0,0.259,0.0824,0.0,0.207,0.455,97.017,150928,4
119,bay_area,Casper Locs,Black N Whites,spotify:track:3G13oo74PEyX89djxrBa72,0.796,0.737,6,-7.121,0,0.22,0.139,0.0,0.18,0.377,84.999,260500,4
120,bay_area,Big Rome,Cruel Summer,spotify:track:7wEPOePTLdTALf4d4lA7MP,0.701,0.854,8,-6.286,1,0.151,0.0188,0.0,0.0714,0.761,104.263,322409,4
121,bay_area,Big Rome,Norte Raised Me,spotify:track:7cuaXmqe5sRTr2YR4Xqodb,0.79,0.72,7,-6.882,1,0.078,0.0895,0.0,0.152,0.584,101.021,220843,4
122,bay_area,Big Rome,Strive,spotify:track:2rTJJh41LlbyHRPvisHaKe,0.69,0.795,6,-8.908,0,0.241,0.00963,0.0,0.134,0.53,88.042,229146,4
123,bay_area,Big Rome,Real Hitters,spotify:track:4W4cBdvt3TNbBERKsXwg1r,0.726,0.647,9,-6.523,0,0.108,0.0421,1.05e-06,0.143,0.341,178.057,237292,4
124,bay_area,Big Rome,Undercover Playa,spotify:track:0DzKR1YLgpM3h7980KYvUg,0.825,0.636,2,-5.903,1,0.236,0.0779,0.0,0.102,0.733,77.993,175935,4
125,bay_area,Big Rome,Ain't Gota Ask Twice,spotify:track:1APTP9mWSSQWESNxuO0kEf,0.746,0.378,8,-13.384,0,0.291,0.662,7.74e-05,0.106,0.673,90.025,237270,4
126,bay_area,Big Rome,Livin My Corrido,spotify:track:56krFwWPi2RSC1y723QteU,0.553,0.459,11,-7.792,1,0.841,0.0913,0.0,0.104,0.56,201.127,201125,4
127,bay_area,Big Rome,We Active N We Function,spotify:track:4e0uw2BMg5LCiKa8p3YakL,0.9,0.424,11,-8.793,0,0.381,0.00247,0.0,0.245,0.367,100.066,223548,4
128,bay_area,Big Rome,Player Haterz,spotify:track:6CVBvPUJfZQUrXcIhvUWc4,0.639,0.601,1,-10.869,1,0.302,0.368,0.00192,0.0856,0.198,180.036,193248,4
129,bay_area,Big Rome,Mas Chingon (feat. Benny Tarantino),spotify:track:12bvAcYDTDYKsfhg9tUXLt,0.604,0.912,1,-8.628,1,0.395,0.317,0.0,0.689,0.533,168.174,217184,4
130,bay_area,G-Stack,"The Realest Niggas In It (feat. Mistah F.A.B., Qoolceo, Cursinado, & Deev Da Greed)",spotify:track:3kSpINmBuF8aOaQaGxabng,0.556,0.684,4,-6.498,0,0.318,0.0113,0.0,0.336,0.546,118.853,285187,5
131,bay_area,G-Stack,East Oakland,spotify:track:5Ctd1PsjQrx5cbNfIIAB42,0.768,0.83,8,-7.352,0,0.232,0.000784,0.0,0.382,0.299,100.051,240013,4
132,bay_area,G-Stack,Menage,spotify:track:0lDnAYQ78HVHJwxtsMZxVl,0.799,0.48,1,-6.678,1,0.294,0.0236,0.0,0.0866,0.574,85.939,184704,4
